video,cp,vy_oth,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,0.0012461620834562244,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0625,24,4.0,4.0,7.777777777777778,7.0,3.0,-2.819761432955759,0.06759573037040441
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,-0.658616138057518,0.15399760740142276,0.155,0.155,0.155,0.155,0.155,0.375,12,4.0,3.7,7.194444444444445,7.0,3.0,-2.6662696454454218,0.7599247756965084
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,-1.0195700911719174,0.868916272765735,0.815,0.815,0.815,0.815,0.815,0.5833333333333334,12,4.0,3.4,6.611111111111111,7.0,3.0,-2.5002492060565444,0.9928672019341728
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,-1.0452866369911886,0.896795406345822,1.0,1.0,1.0,1.0,1.0,0.875,12,4.0,3.1,6.027777777777778,7.0,3.0,-2.3195237816851915,0.9938783045352523
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,-1.0688328170517802,0.9177130435442326,1.0,1.0,1.0,1.0,1.0,0.75,12,4.0,2.8,5.444444444444444,7.0,3.0,-2.121315140754475,0.998134186699616
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0011524930533690608,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0416666666666666,12,5.0,5.0,9.72222222222222,7.0,3.0,-3.2608415070219836,0.06733209223175622
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,-1.0197087037706793,0.8690817845102181,0.815,0.815,0.815,0.815,0.815,0.75,12,5.0,4.4,8.555555555555555,7.0,3.0,-3.0078749016691306,0.9942689012799276
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,-1.061403348461942,0.9115536498419338,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,12,5.0,3.8,7.388888888888888,7.0,3.0,-2.718732159129608,0.9995370429051341
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,-0.0019503408617863917,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,3.0,-3.622644705660919,0.06852474796040607
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,-0.885277773453778,0.6246386684478831,0.575,0.575,0.575,0.575,0.575,0.25,12,6.0,5.7,11.083333333333334,7.0,3.0,-3.5207561488392507,0.9276604359339786
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,-1.0519417367907813,0.9031289566626644,1.0,1.0,1.0,1.0,1.0,0.375,12,6.0,5.1,9.916666666666666,7.0,3.0,-3.30008630092581,0.9952418833534088
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.004487751535492032,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,25,2.0,2.0,3.888888888888889,7.0,4.0,-1.4758358334005228,0.06654594577985537
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,-0.6552851181904361,0.1499513631581146,0.15,0.15,0.15,0.15,0.15,0.6538461538461539,13,2.0,1.7,3.305555555555556,7.0,4.0,-1.1718197333747336,0.757089120905953
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,-0.7532383815695503,0.31042950327959157,0.275,0.275,0.275,0.275,0.275,1.0,12,2.0,1.4,2.722222222222222,7.0,4.0,-0.818459091831626,0.9308056600491601
